Real,Previsto
17.0,15.3
14.0,8.084439999999999
5.0,6.18
13.0,8.05908
5.0,6.0
1.0,3.27678
11.0,5.9
22.0,21.8
16.0,26.52
18.0,13.3
8.0,14.58
6.0,13.22
11.0,12.54
17.0,19.36
3.0,5.3
2.0,4.0
3.0,3.76
4.0,7.74
31.0,25.56418
22.0,25.9
7.0,15.6002
12.0,11.48
11.0,10.94
7.0,7.998920000000001
5.0,9.18
6.0,7.38
3.0,6.1
14.0,17.1
20.0,19.84
17.0,27.82056
21.0,17.12
4.0,20.46
11.0,7.5
9.0,8.96
10.0,8.48
13.0,8.14
4.0,3.2135599999999998
2.0,3.4
4.0,2.65678
1.0,3.52
8.0,10.74
11.0,13.48
8.0,34.58
21.0,21.46
5.0,11.52
10.0,14.74
4.0,7.66
8.0,6.18
18.0,13.68
38.0,12.44
26.0,22.72
14.0,17.8
13.0,18.35136
13.0,18.18
9.0,7.02
8.0,11.6
13.0,17.26
2.0,2.5
3.0,3.58
101.0,23.42
38.0,50.56
8.0,4.68
144.0,146.18
34.0,36.78694
72.0,210.76
37.0,36.76
106.0,243.9
153.0,180.46
16.0,128.28
14.0,51.48
127.0,122.96
134.0,206.78
235.0,105.0
12.0,16.48
37.0,43.5
25.0,62.1
19.0,25.40402
155.0,356.5
17.0,14.24
8.0,8.88
3.0,69.3
92.0,91.22
23.0,9.32
9.0,16.44
91.0,126.58
3.0,75.64
11.0,54.06
43.0,97.64
71.0,152.06
268.0,132.5
66.0,29.78
44.0,140.48
38.0,39.08
49.0,151.88768
13.0,31.0
21.0,117.48
42.0,60.22
130.0,181.9
229.0,229.42
93.0,706.38
5.0,10.28
4.0,9.5
27.0,26.04
1.0,2.08
4.0,7.2
30.0,22.34
19.0,21.9
58.0,113.46
97.0,168.06
1.0,12.6
46.0,133.2
2.0,7.38
102.0,113.7
26.0,101.90078
2.0,11.78
36.0,110.68
5.0,13.8
51.0,136.86
5.0,4.62
2.0,3.76
3.0,6.56
11.0,29.74
3.0,5.46
10.0,6.02
3.0,6.52
19.0,23.1
36.0,26.0
17.0,42.52
12.0,28.12
9.0,24.94
10.0,7.64
24.0,773.64
23.0,35.2
20.0,35.08238
88.0,110.62
9.0,9.86
63.0,59.28
7.0,20.26
273.0,429.92
4.0,9.34
57.0,106.93572
180.0,163.76
46.0,30.92
63.0,120.48
13.0,6.2
21.0,42.96
34.0,79.8
48.0,46.44166
2243.0,4506.36
318.0,210.38
136.0,510.6
23.0,28.26
322.0,794.66
14.0,103.12382
13.0,10.54
11.0,23.74
9.0,19.12
16.0,14.0
13.0,6.74
11.0,7.24
8.0,5.06
5.0,6.06
38.0,32.97638
14.0,5.78
3.0,6.0
10.0,5.54
8.0,4.36
6.0,4.9
1.0,5.94
9.0,6.42
3.0,3.74
1.0,2.4
9.0,11.52
13.0,13.36
13.0,19.1
6.0,19.02
19.0,17.58
27.0,39.6
6.0,12.26
22.0,14.02
5.0,11.84
14.0,8.89448
18.0,11.46
6.0,10.00864
12.0,9.34
12.0,6.48
3.0,11.94
25.0,25.9
16.0,14.72
15.0,13.3
14.0,11.86
10.0,10.52
33.0,36.76402
50.0,28.2
25.0,23.82
19.0,7.5072399999999995
44.0,47.74
5.0,6.06
1.0,8.02
9.0,7.56
12.0,2.06
7.0,3.14
2.0,2.66
2.0,9.98
8.0,9.0
2.0,7.8
1.0,5.76
5.0,19.3
17.0,18.98
10.0,17.06
9.0,9.66288
4.0,14.46
12.0,11.68
1.0,4.56
5.0,7.064539999999999
6.0,4.2
7.0,6.62
4.0,2.44
3.0,17.78
9.0,8.64
5.0,16.4
2.0,15.74
3.0,7.17878
1.0,8.68
5.0,1.98
1.0,7.98
12.0,4.62
6.0,10.6
10.0,5.48
3.0,6.46
2.0,7.62
5.0,12.88
4.0,2.82
3.0,7.34
6.0,6.202000000000001
6.0,4.3
8.0,14.52
8.0,6.64
5.0,4.2
12.0,7.1
8.0,12.54
12.0,11.4
21.0,16.9
2.0,8.3
9.0,11.68
10.0,9.82
12.0,5.22
3.0,6.421659999999999
2.0,6.46
3.0,3.21
