Data,PRODUTO,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,LACO DE CETIM AMARELO 3MM PCT COM 100 LACO&CIA,2.0,0.0,2.923446666666667,17.26730392472384
2024-01-01,LACO DE CETIM AZ ROYAL 10MM PCT COM 50 LACO&CIA,8.0,0.0,5.56,17.26730392472384
2024-01-01,LACO DE CETIM AZUL BEBE 3MM C/100 LACO&CIA,8.0,0.0,4.9,17.26730392472384
2024-01-01,LACO DE CETIM AZUL ROYAL 3MM C/100 LACO&CIA,7.0,0.0,4.54,17.26730392472384
2024-01-01,LACO DE CETIM BRANCO 10MM PCT C/50 LACO&CIA,8.0,0.0,11.66,17.26730392472384
2024-01-01,KIT DECORATIVO AVENGERS REGINA,2.0,0.0,1.4714285714285713,17.26730392472384
2024-01-01,KIT SACO DE CONFEITAR GR CHEF N 2 C/BRINDE MAGO,21.0,0.0,24.82,30.533221545849926
2024-01-01,KIT SUPORTE P/BALAO GRD 50CM C/5 BRANCO,2.0,0.0,9.52,17.26730392472384
2024-01-01,KIT SUPORTE P/BALAO GRD 50CM C/5 CRISTAL,3.0,0.0,9.28,17.26730392472384
2024-01-01,KIT SUPORTE P/BALAO GRD 50CM C/5 PRETO,1.0,0.0,2.12,17.26730392472384
2024-01-01,KIT TATTO GLITTER ROSTINHO PINTADO,3.0,0.0,3.28,17.26730392472384
2024-01-01,KIT DECORACAO PARA CESTA 1,57.0,0.0,131.74,137.86483864796296
2024-01-01,KINDER OVO NATOONS C/SURPRESA 20G,35.0,0.0,121.22,99.11280607440054
2024-01-01,KINDER TRONKY 18G FERRERO DO BRASIL,154.0,1080.2154963047406,525.68,453.5987347222324
2024-01-01,KIT AUTO SERV C/1 UNID 20x29 CASUAL CROMUS,2.0,0.0,34.82,25.16097024198941
2024-01-01,KIT AUTO SERV C/1 UNID 20x29 INFANTO JUVENIL CROMUS,1.0,0.0,23.84,25.16097024198941
2024-01-01,KIT AUTO SERV C/1 UNID 20x29 ROMANTICA CROMUS,1.0,0.0,7.08,17.26730392472384
2024-01-01,KIT AUTO SERV C/1 UNID 30X44 FEMININA CROMUS,3.0,0.0,38.1,39.5724433654231
2024-01-01,KINDER OVO COM SURPRESA MENINO 2X40G,53.0,0.0,63.36,46.849016331293384
2024-01-01,KINDER OVO COM SURPRESA MENINA 40G,36.0,0.0,67.52,47.65184624807356
2024-01-01,KAPO LARANJA 200ML,2.0,0.0,8.7,19.194962717823795
2024-01-01,KAPO MORANGO 200ML,7.0,0.0,26.8,28.797633309651978
2024-01-01,KAPO UVA 200ML,8.0,0.0,67.52,38.46888293765005
2024-01-01,KASKETE BISCOITO 75G BARION,7.0,0.0,51.92,48.97938764625065
2024-01-01,KASKETE BISCOITO PEPPA 75G BARION,6.0,0.0,29.56402,25.16097024198941
2024-01-01,KEEP COOLER UVA 275ML AURORA,1.0,0.0,12.554960000000001,17.26730392472384
2024-01-01,KINDER OVO COM SURPRESA MENINO 20G,52.0,0.0,95.04,84.21649201302726
2024-01-01,KINDER BUENO WAFER WHITE LEITE E AVELA 39G,310.0,0.0,235.62,309.2778591898585
2024-01-01,KINDER CHOCOLATE 12.5G,178.0,151.89803126766714,371.38,319.38381211214465
2024-01-01,KINDER CHOCOLATE 50G,27.0,0.0,59.60608,38.57715015463165
2024-01-01,KINDER CHOCOLATE 75G,15.0,0.0,91.58,51.50925009963575
2024-01-01,KINDER OVO COM SURPRESA JOY 20G,84.0,0.0,98.24,79.95102374062537
2024-01-01,KINDER OVO COM SURPRESA JOY 40G,30.0,0.0,51.0,33.20489885077114
2024-01-01,KINDER OVO COM SURPRESA MENINA 20G,65.0,0.0,132.2,134.71792325648633
2024-01-01,KINDER BUENO WAFER LEITE E AVELA 43G,248.0,248.92721742917098,405.66,462.3614371209201
